I1,I2,File Name,Link,Humour,Caption,Comments,Notes,Latest Upload date
1,b,Sang - Scrapbook Combined.mp4,,Sang,,,"NEW UPLOAD (replaced ""Sang - Scrapbook"")",
1,c,Cole - Elixir.mp4,Cole - Elixir.mp4,Cole,Bile Elixer available for pre order now!,Sang: 💕❤️💕✨💕❤️💕!,,11/12
1,m,Mel - Conspiracy Rant.mp4,Mel - Conspiracy Rant.mp4,Mel,Bringing truth to the people #wealthiscontrol,,,11/12
1,p,Flem - Control is Purity,,Flem,Breathwork in a rural retreat outside Chiang Mai #controlispurity,,NEW UPLOAD,
2,b,Sang - Getting Ready Sang.mp4,Sang - Getting Ready Sang.mp4,Sang,💄💅🏻🎀💋,RayverBaybee41: omg I love that paci neeeeed,,11/12
2,c,Cole - Erection Supplements.mp4,Cole - Erection Supplements.mp4,Cole,CRUCIAL new supplements! Remember to measure your erections daily AND nightly!,,,11/12
2,m,Mel - Autumn ASMR.mp4,Mel - Autumn ASMR.mp4,Mel,Whispering the truth brought by bitter winds... #asmr #blackbile,,,11/12
2,p,Flem - Circus.mp4,Flem - Circus.mp4,Flem,Silks keep me going when the noise of Paris gets on my nerves. Inquire for a discount code for my trainer! #fitness #perfection,,,11/12
3,b,Sang - Faire Leeches movie.mp4,Sang - Leeches movie.mp4,Sang,💃🏻🪱🩸🅱️➕🟡🤢,,NEW UPLOAD,
3,c,Cole - Hammer Swing.mp4,Cole - Hammer Swing.mp4,Cole,I'm only posting this to shame myself into ACHIEVING HARDER #NosShameNoGain,,,11/12
3,m,Mel - No Dancing.mp4,Mel - No Dancing.mp4,Mel,🚫💃🏻,,,11/12
3,p,Flem - Faire Vials.mp4,,Flem,A tour through my sponsored artisanal pop-up at the local farmer's market in Venice #luxessentials,,,
4,b,Sang - Joust.mp4,Sang - Joust.mp4,Sang,😡🤬🚫🩸🩸🩸⁉️,Mel: It's really a travesty - these classical liberals are ruining everything. #neofeudal,,11/12
4,c,Cole - Death Conspiracy Real.mp4,Cole - Death Conspiracy Real.mp4,Cole,@Mel,"HumoursFan69: Cant believe my two favoite thought leaders are making vidoes together again😍
ConspiracyL0v3R: Joe Rogan eat your heart out ","""What we idols live on"" --> ""While we ideas live on""; ""the yellow bio"" -> ""the yellow bile""",11/13 AM
4,m,Mel - Intervention.mp4,Mel - Intervention.mp4,Mel,A really sad video... I even thought about demonetizing this one 😞,,,11/12
4,p,Flem - How to Blink.mp4,Flem - How to Blink.mp4,Flem,Re-learning the sound of one eye blinking in Sanya... #blessed #mindfulness #phelmgfullness,,"""to coupling"" -> decoupling",11/12
5,b,Sang - Workout Vlog Argument.mp4,Sang - Workout Vlog Argument.mp4,Sang,🏋🏻🤸🏻🖤🕸️💔👋🏻,"Mel: Take this down NOW
Mel: fake news!!
Mel: please come back bloodmuffin. please",,11/13 AM
5,c,Cole - Squat.mp4,Cole - Squat.mp4,Cole,CRUSHING the squat challenge 🦵🏻 #supplementpower,,,11/12
5,m,Mel - Bread.mp4,Mel - Bread.mp4,Mel,SPONTANEOUS GENERATION THEORY IS A COVER-UP,,,11/12
5,p,Flem - Yoga Bali.mp4,Flem - Yoga Bali.mp4,Flem,~Went to Bali and came back a new person~,,,11/12
6,b,Sang - Baby Blood Blush.mp4,Sang - Baby  Blood Blush.mp4,Sang,👶🏻🩸🅱️➕❤️♥️❤️♥️,,,11/12
6,c,Cole - But what about codpiece.mp4,Cole - But what about codpiece.mp4,Cole,Codpeice for the win!!!!!!,Mel: You are all far too vigurous!,,11/13 AM
6,m,Mel - Tinfoil Skincare.mp4,Mel - Tinfoil Skincare.mp4,Mel,What THEY don't want you to know about skincare #wealthiscontrol,,,11/12
6,p,Flem - Skincare Ad.mp4, Flem - Skincare Ad.mp4,Flem,"Your skin is the barrier between you and the world. Protect your skin, protect yourself. #phlegmcare #santamarta",,,11/12
7,b,Sang - Kombucha.mp4,Sang - Kombucha.mp4,Sang,✨❤️🦪💚🥂❤️✨,"Flem: Love you my wet baby!
Flem: @sang Did you see the news?! You need to take this down! 🆘📬⬇️",,11/12
7,c,Cole - Opal Appearance Update.mp4,Cole - Opal Appearance Update.mp4,Cole,TECH UPGRADE #healthiswealth,,,11/12
7,m,Mel - Bile Boys.mp4,Mel - Bile Boys.mp4,Mel,SHOCKING EXPOSE - SICK UNDERGROUND YELLOW BILE FARMS #wealthiscontrol,"BillyBob: Hi I'm BobBilly, that's totally me in the video and I totally consented to everything you see here.",,11/12
